ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2775,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-017,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/27/2024,4/29/2021,4/28/2031
2776,Madagascar Improved CookStove Project by KCM-Wood#CPA-W-018,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/28/2024,4/1/2022,3/31/2032
2777,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-019,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/27/2024,10/4/2021,10/3/2031
2778,Madagascar Improved CookStove Project by KCM-Wood#CPA-W-020,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/27/2024,6/8/2022,6/7/2032
2779,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-021,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/28/2024,12/17/2021,12/16/2031
2780,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-022,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,5/27/2024,10/1/2022,9/30/2032
2768,Associated Gas Recovery and Utilization at Khamilah oil field area at Block-27 in Wilayat lbri of the Sultanate of Oman,OQ Trading Limited,"Fugitive emissions from fuels (solid, oil and gas)",,AM0009,Registered,Oman,473826,Middle East,8/24/2022,1/5/2020,1/4/2030
2763,Waste Energy project in Dadra & Nagar Haveli(D&NH),3R Management (P) Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,India,90808,Asia,6/28/2024,2/26/2020,2/25/2030
2762,Guizhou Xintian CMM Power Generation Project,"Yonggui Energy Development Co., Ltd. Xintian Branch",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,634610,Asia,10/7/2022,9/26/2020,9/25/2030
2753,Sustainable Biogas Project for Community Empowerment,Green Solutions,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.E.,Registered,India,38236,Asia,10/4/2023,11/1/2020,10/31/2027
2752,Waste Energy project in Andhra Pradesh & Rajasthan,MAHINDRA WASTE TO ENERGY SOLUTIONS LTD.,Waste handling and disposal,,ACM0002,Registered,India,21855,Asia,8/2/2024,2/1/2020,1/31/2030
2751,"MOOH COOPERATIVE GROUPED PROJECT, Reduction of methane emissions in the Swiss dairy sector",Mooh Cooperative,"Livestock, enteric fermentation, and manure management",,VM0041,Registered,Switzerland,31640,Europe,3/9/2023,1/1/2022,12/31/2028
2750,Saving Colombia's Cloud Forest,"Saving Nature, Inc.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Colombia,7920,Latin America,2/21/2025,1/1/2017,12/31/2056
2748,Zhangye Improved Grassland Management Project,Zhangye Academy of Forestry Sciences,Agriculture Forestry and Other Land Use,ALM,VM0026,Registered,China,736006,Asia,11/3/2022,7/25/2017,7/24/2057
2749,DelAgua Clean Cooking Grouped Project,DelAgua Health Rwanda (Voluntary) Limited,Energy demand,,VMR0006,Registered,Rwanda,545712,Africa,2/8/2023,1/1/2019,12/31/2025
2745,Wuwei City Afforestation Project in Gansu Province,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,63352,Asia,12/23/2022,9/20/2017,9/19/2077
2739,Reducing Gas Leakages within the Pashchimanchal Gas Distribution Network in Bangladesh,Multiple Proponents,"Fugitive emissions from fuels (solid, oil and gas)",,AM0023,Registered,Bangladesh,371861,Asia,9/27/2022,1/19/2020,1/18/2030
2740,Dekang AWMS GHG Mitigation Project in Sichuan Province,DEKON FOOD AND AGRICULTURE GROUP,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,456897,Asia,9/1/2022,6/22/2020,6/21/2030
2741,Dekang AWMS GHG Mitigation Project in Guizhou Province,DEKON FOOD AND AGRICULTURE GROUP,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,427200,Asia,9/1/2022,6/30/2020,6/29/2030
